Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
28,Hooghly,RACHNA BANERJEE,All India Trinamool Congress,76853,Other,Result Declared,LOCKET CHATTERJEE,Bharatiya Janata Party
28,KHANDWA,GYANESHWAR PATIL,Bharatiya Janata Party,269971,BJP,Result Declared,NARENDRA PATEL,Indian National Congress
28,Kheri,UTKARSH VERMA 'MADHUR',Samajwadi Party,34329,Other,Result Declared,AJAY KUMAR,Bharatiya Janata Party
28,Kolar,M. MALLESH BABU,Janata Dal (Secular),71388,Other,Result Declared,K V GOWTHAM,Indian National Congress
28,MAYILADUTHURAI,SUDHA R,Indian National Congress,271183,INC,Result Declared,BABU P,All India Anna Dravida Munnetra Kazhagam
28,Mumbai North East,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),29861,Other,Result Declared,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party
28,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),80870,Other,Result Declared,KUMARI ANITA,Rashtriya Janata Dal
29,Arambagh,BAG MITALI,All India Trinamool Congress,6399,Other,Result Declared,ARUP KANTI DIGAR,Bharatiya Janata Party
29,BETUL,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,379761,BJP,Result Declared,RAMU TEKAM,Indian National Congress
29,Dhaurahra,ANAND BHADAURIYA,Samajwadi Party,4449,Other,Result Declared,REKHA VERMA,Bharatiya Janata Party
29,Mumbai North Central,GAIKWAD VARSHA EKNATH,Indian National Congress,16514,INC,Result Declared,ADV UJWAL NIKAM,Bharatiya Janata Party
29,NAGAPATTINAM,SELVARAJ V,Communist Party of India,208957,Other,Result Declared,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam
29,Nalanda,KAUSHALENDRA KUMAR,Janata Dal (United),169114,Other,Result Declared,DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation)
30,Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),53384,Other,Result Declared,RAHUL RAMESH SHEWALE,Shiv Sena
30,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,153846,BJP,Result Declared,ANSHUL AVIJIT,Indian National Congress
30,Sitapur,RAKESH RATHOR,Indian National Congress,89641,INC,Result Declared,RAJESH VERMA,Bharatiya Janata Party
30,Tamluk,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,77733,BJP,Result Declared,DEBANGSHU BHATTACHARYA,All India Trinamool Congress
30,THANJAVUR,MURASOLI S,Dravida Munnetra Kazhagam,319583,Other,Result Declared,SIVANESAN P,Desiya Murpokku Dravida Kazhagam
31,Hardoi,JAI PRAKASH,Bharatiya Janata Party,27856,BJP,Result Declared,USHA VERMA,Samajwadi Party
31,Kanthi,ADHIKARI SOUMENDU,Bharatiya Janata Party,47764,BJP,Result Declared,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress
31,Mumbai South,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),52673,Other,Result Declared,YAMINI YASHWANT JADHAV,Shiv Sena
31,Patliputra,MISHA BHARTI,Rashtriya Janata Dal,85174,Other,Result Declared,RAM KRIPAL YADAV,Bharatiya Janata Party
31,SIVAGANGA,KARTI P CHIDAMBARAM,Indian National Congress,205664,INC,Result Declared,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam
32,Arrah,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),59808,Other,Result Declared,R. K. SINGH,Bharatiya Janata Party
32,Ghatal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,182868,Other,Result Declared,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party
32,MADURAI,VENKATESAN S,Communist Party of India (Marxist),209409,Other,Result Declared,RAAMA SREENIVASAN,Bharatiya Janata Party
32,Misrikh,ASHOK KUMAR RAWAT,Bharatiya Janata Party,33406,BJP,Result Declared,SANGITA RAJVANSHI,Samajwadi Party
32,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,82784,Other,Result Declared,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey)
33,Buxar,SUDHAKAR SINGH,Rashtriya Janata Dal,30091,Other,Result Declared,MITHILESH TIWARI,Bharatiya Janata Party
33,Jhargram,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,174048,Other,Result Declared,DR. PRANAT TUDU,Bharatiya Janata Party
33,Maval,SHRIRANG APPA CHANDU BARNE,Shiv Sena,96615,Other,Result Declared,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey)
33,THENI,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,278825,Other,Result Declared,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam
33,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,35818,BJP,Result Declared,ANNU TANDON,Samajwadi Party
